,boycott_uid_set,like_boycotters_uid_set
0000,3590;3596;5645;1551;17;4118;2593;5156;5679;1071;4687;594;2656;3684;3688;1131;4204;1134;4207;3697;3699;2683;130;2691;2185;5770;4748;3228;669;161;4772;5801;682;2733;5805;5300;2232;1727;4801;4806;714;2766;1746;1753;2781;3813;2790;3304;239;4337;2293;1802;4375;3864;4898;1315;295;4904;303;1842;307;4406;829;3902;1863;330;3403;3916;346;4959;5484;2933;6011;4994;4484;2438;1940;1949;1437;2468;3501;437;953;957;4032;5056;5582;4050;979;5094;5097;5100;5629,3592;3081;4107;2572;2064;2583;1569;4649;1586;3635;4659;53;1591;1595;2124;4686;81;1113;3192;2171;2176;2178;5255;661;3226;5630;170;2731;2738;1724;716;2259;5847;3810;5858;5862;3306;3819;4333;5363;1268;3317;3834;1275;1790;4363;270;1306;3356;3874;3365;811;300;2859;2866;5427;5948;5446;3400;3412;1901;5489;4470;3452;2942;1926;5000;5512;2957;3474;1947;412;413;928;5537;419;2483;1972;1983;4034;451;5064;1498;3036;2526;5598;3044;5102;5103;4084;5626;1021;4094
0001,5504;4484;5000;3597;18;3858;3474;3864;4507;2593;4645;1062;4904;5033;937;4411;2750;5447;5704;4809;4298;5841;2003;343;989;2148;233;1645;2157;4206;379;764,3592;5384;3979;4748;408;1306;1697;1835;2860;307;184;953;1983;583;2631;1481;2124;1494;3286;3032;5847;346;5343;97;2145;3560;5483;884;4086;1530;6013
0002,2944;5255;5008;5396;3095;4507;3101;1697;4518;4904;1834;1835;44;1586;4659;3002;4411;3390;5701;583;840;4298;5707;2124;5841;4050;2259;3032;346;5343;4206;623;4595,5504;2689;2691;4484;3080;3592;4107;4363;3597;4748;162;937;2091;951;953;58;3769;1347;1224;1746;5845;5847;1241;985;1885;2145;5090;3688;5483;1132;4086;3704;764
0003,1536;3074;3596;5132;5137;2070;2080;2593;4649;5165;1586;4154;4667;2113;66;582;1098;4172;594;4187;4189;4701;3167;2657;101;3688;1131;4204;1134;5743;626;3699;2163;5753;2689;2691;5255;3210;4755;661;3221;186;3781;4817;3287;3809;3810;4324;3813;5862;2791;3305;3306;234;2287;5363;2297;3835;1275;764;768;257;2313;2838;3356;2852;3365;1847;5945;4925;3902;1856;1349;1863;4424;4943;1371;2922;875;3437;5489;5499;3452;2942;4484;3461;2957;1940;5528;2970;932;1446;5542;946;437;2488;953;446;5056;4039;5066;5582;5591;3036;4063;3558;5095;3560;4589;5102;5629,3073;5130;4634;1569;4129;1062;5671;5166;567;1591;5690;3136;577;3649;2118;81;4177;4179;597;91;5212;3684;3686;5735;2159;1649;4723;2171;5756;5757;3711;1670;5768;138;1180;1692;3744;2726;3238;1192;2729;682;3755;1718;1217;4801;2243;1732;4293;4297;714;4815;5839;1746;2259;5343;3296;4320;2790;233;2293;1271;3322;5384;3852;2831;784;3344;3858;288;3872;4900;4904;5936;307;5427;4405;3912;5962;3930;1378;3947;5484;372;1917;6013;4994;3978;4495;1437;1953;4518;1959;2477;3502;1972;447;2497;451;452;5579;4044;1488;5609;2543;3059;4595;4086;1018;5115;1021
0004,130;389;3461;2694;5255;3207;5003;2957;4374;790;4634;283;5534;288;2849;4772;2726;1702;4904;2729;1198;4143;690;307;1972;5427;3135;1856;4545;4801;452;206;4175;2770;4179;5973;5593;3036;5984;2401;5218;1765;5862;3688;3560;1131;3820;1259;4337;3697;4595;372;4982;761;3835;894,3456;2689;3073;1157;2697;5645;4495;6031;1940;661;3864;2201;538;1437;1949;5284;5670;682;1071;5936;567;568;953;4536;2363;2875;4027;3902;5560;5696;451;1349;2505;2510;81;4050;5460;86;346;609;2276;101;2788;2922;3306;4461;1518;5102;496;884;374;121;5499;3452;1021
0005,4994;2307;5255;2056;4489;2185;5645;5517;274;3474;3864;928;2465;1699;2726;1446;1062;4904;5423;2609;953;5948;4801;577;840;4681;2764;210;2259;2901;725;5335;5208;346;5596;5597;97;3684;5862;3815;3688;1258;1643;1134;2163;3704;3835;5629;1790;2943,2691;2693;138;1802;2828;3210;3596;3978;4874;4373;2070;5653;4888;5913;3226;4634;1437;2974;2593;1966;3889;307;1718;5942;5434;829;3902;3267;5446;1863;4815;81;4177;4179;4947;3158;5085;2526;4327;3304;5739;2414;4207;5102;5103;4084;374;3322;1021;2814
0006,1926;5511;2185;1802;3210;1425;4888;2072;4634;27;5794;3490;549;1062;1191;424;1835;3885;307;4277;4921;1211;3646;4418;710;4298;5069;5582;5329;2002;3833;97;1378;1635;1896;1258;1643;2030;5999;112;5749;5625;5759,1026;3842;6020;3596;3474;2841;3356;1698;1699;2340;5413;1446;5795;4136;1586;3635;5300;4021;5948;3521;3394;195;2244;2373;3651;839;1224;2251;2764;5451;81;3292;1117;2526;5469;4448;3045;2793;5100;1134;2293;504;2941
0007,2145;2308;4201;4298;2510;1746;858;764,3140;1221;4484;4904;5000;139;1132;567
0008,4994;645;5768;266;3466;4236;3596;2574;2831;3853;1940;3604;4888;2201;3738;413;2339;420;2852;5542;1959;1702;4904;1971;3251;184;953;4925;446;1343;3902;4801;2117;2118;5072;4817;1363;2003;989;2401;3173;5862;233;2155;3835;5375,4737;1670;2694;5007;4752;3864;4634;5275;3356;2593;2082;2849;2726;4518;682;5290;5291;5165;4273;1330;307;5427;3257;5056;5952;451;2243;4811;2510;3790;5582;4052;91;5469;5343;2145;2914;101;231;3177;1131;4589;4595;2809;1021
0009,257;3587;5255;649;3210;5257;2828;5770;3339;4623;2324;661;5141;2970;1949;926;4895;928;3872;5794;4131;5157;2726;2983;4136;5671;4135;1830;1062;1586;1972;1718;1591;3002;2363;5948;1343;2240;2369;4801;451;452;3522;1986;5058;1349;3781;5069;5200;2384;979;4697;2137;346;3039;97;1378;4195;5221;231;3688;4584;3306;5994;3560;2155;5102;4080;5873;3699;372;2423;5372,2689;1410;6020;2694;7;5768;2697;5003;3468;3596;6027;3474;5499;2964;5907;2583;4634;412;1437;3356;288;2593;1315;1446;5545;682;2171;1198;307;5427;5560;953;2683;3772;4027;3902;1856;65;5446;4172;5454;4047;5582;4050;4179;5973;2648;2139;3036;4187;5997;3835;3296;5862;1256;5736;1258;875;1131;1005;494;1259;2922;4093;5484;4595;2420;2293;2678;3704;635;1021;2943
