,boycott_uid_set,like_boycotters_uid_set
0000,1280;2305;4225;520;5007;912;913;4497;2194;1683;3985;4757;5020;2588;1067;4144;4146;5559;1467;960;5319;4433;722;5598;5859;1383;4467;1398;3193;2428,
0001,4612;5775;3229;414;2979;4008;2857;938;2985;4398;5294;5679;950;440;4667;5440;5445;3141;2250;3032;476;4831;4576;224;483;5478;3694;496;3956;5621,
0002,3076;5253;4235;1809;3603;2972;414;5791;5158;5930;1967;2864;2866;5555;4786;3509;696;1864;3657;718;1239;5090;5476;3946;1390;4975;3952;2035;4854;634,
0003,768;513;3852;4493;3468;1424;4886;3613;4126;4128;1318;426;4780;1710;3889;5811;3764;182;1848;4669;2757;1350;1607;5201;5715;3157;2022;3560;3312;5619,
0004,3200;4225;1157;3719;1671;5116;5391;1040;5910;165;3368;5930;1067;3385;5945;3137;2243;835;714;5839;3798;3424;4066;4450;231;2933;3963;2556;3069;5886,
0005,2434;2947;2186;1298;663;3992;2459;290;5931;2091;5164;2809;1207;5310;1991;4689;2390;984;3801;2008;475;5984;4072;1777;4210;4085;2935;4729;4091;2174,
0006,6016;2048;3202;1540;8;5005;655;4495;17;3604;1181;3229;1575;1320;1193;6012;1836;4273;957;5054;1220;1732;1350;4038;4041;461;5587;5080;2520;4348,
0007,3968;2177;2949;2313;3608;1443;5541;2219;4909;5295;4915;574;3654;5064;3657;3275;2765;1878;3295;1378;2914;357;1383;620;3826;5235;2040;633;3197;255,
0008,4865;773;2956;1933;1039;2959;5780;281;26;164;5156;4644;4390;1832;2231;5571;5203;5205;4188;5983;4579;101;2284;751;5750;887;2681;4859;4605;5887,
0009,1152;4230;649;5012;3477;6037;163;1955;5670;2601;5033;3500;3116;3384;3319;5948;189;3267;4933;5838;471;5732;5356;365;3441;5873;626;1781;4599;4472,
0010,5507;4483;133;3852;4493;2829;1422;1558;5527;156;4252;3617;5930;2349;2992;1715;2746;3515;1601;1868;5326;85;4829;1897;1515;3694;5360;5233;6002;2678,
0011,5766;5511;402;5014;3609;3614;4255;4001;5031;4519;5800;1197;952;187;4286;2756;2373;197;4443;3804;3424;3559;1895;2288;2164;5366;4088;1658;4092;4478,
