,boycott_uid_set,like_boycotters_uid_set
0000,2051;4099;10;4106;13;17;18;4118;23;36;4137;4138;45;4141;47;48;4156;61;4158;4161;4165;71;74;4177;83;4179;85;4183;4185;93;4189;4193;2146;4195;100;103;105;109;110;4207;4208;2161;2164;2167;2169;122;4219;124;2177;4229;4235;147;154;2204;162;164;166;2215;2220;2221;175;4281;186;187;196;4295;204;207;4303;209;211;4307;215;218;221;226;227;4326;2284;238;239;247;252;4349;2304;4363;279;281;282;284;285;287;4383;4385;290;2354;307;4403;2362;2363;316;4411;4420;2373;2374;4421;4424;330;4426;4430;2383;341;345;4442;4443;2400;353;4453;361;4457;368;4469;4471;2424;4473;2427;380;4480;4482;4484;4501;4510;2466;2469;4530;2483;2485;2490;4540;2493;4542;2507;465;4562;4565;2520;4568;474;2529;486;4596;4605;4606;4612;2566;2570;524;2573;526;4620;4621;529;2578;2579;532;4625;4629;535;2584;4630;538;4631;4635;2590;544;2593;2597;4646;553;554;2602;4652;4653;4654;4655;4656;2612;2613;566;4663;571;2619;4667;4670;575;4671;4672;578;4673;4678;584;587;589;592;593;598;5004;4699;2653;5005;4707;612;614;616;617;4713;619;2668;621;622;2670;4720;4721;2674;4723;4726;633;636;4734;4736;644;2694;4742;648;653;4750;655;656;4752;4754;4755;2710;4762;677;2732;2733;4780;690;2739;4787;4790;696;4792;2747;702;2750;709;4806;712;2764;717;718;2768;4818;2771;724;2774;727;2775;2777;2778;4825;2780;734;2788;2789;4839;745;746;4841;2796;2797;4846;4847;755;756;2803;4855;760;4856;2811;766;4862;776;2825;2827;780;781;2830;4877;4878;4880;4884;2838;4886;4891;2846;801;2849;2850;804;2851;4899;2855;811;2859;4909;814;816;4915;2868;2870;823;824;2872;4921;4928;835;4931;4933;838;841;2890;844;2893;4940;848;4946;2899;852;2900;4947;4948;4951;4954;5977;865;2914;867;4963;869;4964;4967;4968;4969;4970;875;2924;877;4971;879;880;2928;4972;883;4974;4975;2934;4977;2936;890;2939;4987;2942;2943;896;897;2946;4991;900;901;4996;2951;904;4997;4999;907;908;909;2955;2958;912;2961;2962;5002;916;917;918;919;920;921;2967;5014;5015;5017;5018;927;5020;5021;5022;5023;2980;5026;5028;2988;944;2994;5043;3001;3002;955;3003;3005;3008;964;966;968;5069;974;3023;3025;5073;980;3029;982;984;5080;3035;5489;994;3043;3045;3047;1000;1001;3050;3051;1004;5101;5102;1011;3060;5108;3064;1018;1020;1021;5116;1023;5118;3073;5121;5495;5128;5007;5134;3087;5136;1041;1042;3089;3090;5142;1049;3100;3101;1055;3107;1064;1065;5160;1067;5162;5164;5165;3123;5171;1078;3131;5179;1090;1094;3143;1097;1098;3149;3150;3151;5201;1106;3154;1108;3157;5206;3163;1116;5212;1119;1120;3168;5215;1123;5219;5220;5222;3176;3177;1133;5230;5231;1136;3186;1139;3189;1143;1144;1145;3193;3194;1148;3197;3198;5240;1155;3203;5259;1164;1166;1168;1169;3217;1171;1174;1175;3224;5271;5272;1179;1180;3229;1182;1183;1184;3230;3232;1187;3234;5276;5277;5281;5288;1193;1194;3242;3244;5289;5293;3247;3248;3249;3250;1204;5300;3254;3255;3256;1209;3257;3259;5305;1213;1214;5306;1216;1217;3264;3266;5314;3271;5319;1227;1228;3277;1230;3279;5323;1233;1234;1235;5328;5329;3288;3289;3290;1243;5340;1247;1248;1249;3295;3296;1252;3297;1255;3304;3305;3307;3311;3312;3313;5361;3316;5365;5366;3319;3321;1276;3327;3328;5376;1283;1286;1287;1288;3336;1290;5384;1292;3341;3342;1295;1297;3347;3348;3349;1303;3351;1305;3353;5958;3356;1310;1311;3358;3360;3361;3362;3924;1318;3926;1322;3370;3373;5422;1330;5426;1336;3384;1338;3387;3388;5436;1342;1343;5441;3394;1350;1352;1353;1354;1356;3404;3405;3413;5461;1370;1372;3421;1374;1375;3424;5468;3426;1379;5475;3429;1385;1387;3939;5487;1392;3441;1394;5488;1396;3445;1398;3447;1400;1401;1402;3451;1404;5494;1406;3454;1408;5496;1410;1412;3461;5508;5511;5513;3466;1419;3468;1426;1431;1432;3481;3485;5535;1440;5539;1444;5541;3495;3496;3497;1450;1451;1452;1454;1455;5988;1457;5554;1460;1461;1462;1463;5556;1465;5990;1469;1470;5991;1472;1476;1477;1478;1479;1480;1482;1486;1488;1490;5586;5590;1496;3544;3545;3547;5593;5595;5597;1503;5599;1505;1507;1508;5605;1513;1518;1520;6001;5618;1523;1525;1528;5628;1535;3587;3588;3591;5644;3598;3600;3601;5649;5650;5654;5657;1568;3620;5669;1575;5674;1583;5680;1585;5681;5683;5684;1589;1590;3637;3638;3641;5685;1595;5693;5694;1599;3649;5697;5699;3652;3654;3655;5702;3657;5704;5705;5708;5709;1614;5710;3664;3665;5712;5713;5715;5721;1627;1628;5724;1630;1631;1632;3680;5727;5730;1637;1638;1639;1640;1641;5737;1643;1644;3693;1646;5739;5745;1650;1651;5746;1653;1654;1655;1656;3701;5748;5749;1660;6028;1662;5761;3714;1668;3717;1670;1672;3721;1674;5771;1676;3726;5774;1680;5780;1685;1686;5783;6034;5787;5788;5789;3742;1696;5793;5795;3750;5800;3754;1707;5804;3757;1710;5805;5810;5812;5813;5814;3767;1720;5815;5818;1731;5828;1734;3782;5831;3785;3786;3787;3788;1741;3789;3790;5834;1745;5836;1747;3795;1753;3802;5852;1760;1766;3816;5865;5867;1772;3820;3823;1778;3828;1787;3842;3845;3850;3853;5901;3856;1810;1813;5909;3863;3865;5914;5917;3870;1823;3873;3874;5922;5925;5931;5932;3885;3886;1841;3891;3892;1846;3897;1853;1854;1855;1856;1857;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;3910;3911;1872;3921;1874;1875;1876;1877;1878;3923;1880;1881;1882;1883;1884;1885;1886;1887;1888;3931;1890;1891;1892;1893;1894;3937;1896;1897;1898;3938;1900;1901;1902;1903;3947;1905;1906;1907;1908;3956;1910;1911;1912;1913;1914;1916;1917;1918;1919;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;3982;1943;1944;1945;1946;1947;1948;1949;1951;1952;1953;1954;5273;4008;1961;4010;1963;1966;1967;1969;1972;4021;1983;1984;1985;1986;4042;4043;4044;4067;4070;4072;2033;4083;2036;2046,
0001,3;5;6;2056;20;2077;33;4148;54;55;59;65;72;76;4191;2156;111;116;4212;4222;133;140;4240;169;171;176;183;190;4293;198;201;4297;208;219;222;228;231;232;236;240;241;251;256;257;258;265;267;269;270;273;274;291;293;304;305;315;318;321;322;324;325;327;331;332;333;334;335;338;342;343;346;347;348;351;354;355;356;359;362;363;366;367;369;373;374;375;377;378;384;386;387;390;393;394;395;396;398;399;400;401;402;2453;406;409;410;412;413;414;415;416;419;420;421;422;423;424;425;426;427;428;4523;430;431;432;433;4524;435;437;439;2487;441;442;443;444;4541;445;446;447;2495;452;453;454;455;456;2505;458;459;4556;460;461;462;463;464;466;467;468;469;470;472;473;475;476;477;478;479;480;481;482;483;484;485;4582;487;488;489;490;491;492;493;4590;495;496;497;4594;498;499;500;501;502;4601;506;507;508;509;510;512;513;514;515;516;517;519;520;521;522;523;4617;4622;534;539;2587;4638;543;4640;551;558;2609;4657;4685;4691;4695;4698;4714;4722;4729;641;4756;676;4785;4789;4791;2766;720;722;4824;4826;731;4830;739;749;4845;2799;4853;2813;2818;775;4881;786;4892;4907;2862;4911;827;4925;4926;2880;4934;2888;2889;842;4938;4943;4949;4950;853;4953;2905;2906;4955;4958;2911;4960;4962;4966;2920;2926;4979;2932;4980;4981;887;2935;4983;2938;4984;4986;4988;4989;4990;4992;4994;4995;5042;3000;956;3009;5070;3053;3057;3058;5113;3072;3079;3080;5141;3098;3111;3113;3120;3134;5182;5191;5194;1102;5198;3155;5204;5208;3161;3164;3172;3173;5225;3185;3188;5237;5255;1167;3215;5278;3231;5279;5284;5285;3240;5295;5298;5304;3262;5313;5316;3276;5326;5327;5348;5350;5352;5364;5367;3320;5371;5373;5383;3368;3371;3372;3382;3386;5437;5444;3397;5455;5457;1373;5477;3433;5481;5492;1397;5503;3467;1422;5525;5538;3505;3515;5576;3531;3533;5594;3550;3555;5620;5634;3597;3602;5673;5687;5698;5700;5701;1606;3670;5723;5738;5743;5762;3715;5782;5784;3740;5790;3760;5827;5835;5851;3806;5891;1816;5918;5924;3882;5946;3900;5970;5972;5975;3928;5982;5999;3953;3960;6032;4032;4060;2023;4076;4086;4091,
0002,3096;3613;2080;546;2087;5159;556;3119;4659;1089;4168;5718;1634;4209;113;128;4740;4233;5269;3737;159;4257;680;4272;5808;5809;708;4301;2264;2267;3293;4327;233;754;1274;5374;4351;788;793;4380;805;812;815;5936;317;4413;5440;2389;4439;2394;861;2403;3437;2420;6016;2448;2449;2451;923;4509;4519;2472;2478;4527;2482;5555;2489;2492;2496;2497;2501;2510;5583;2513;2514;2515;2516;1494;2524;2525;2526;2528;5088;2532;2534;2536;2537;2538;2542;1519;2545;2546;2547;2548;2549;2550;505;2043,
0003,3076;3094;3610;5151;2594;5161;4650;5675;557;1587;3124;57;58;5177;2623;3146;5213;3683;108;3699;4728;3705;3708;1152;1157;3208;5256;2700;669;670;2725;681;1711;4273;1717;2745;4801;1735;1738;5332;733;2274;4325;5363;5876;3318;5881;4348;5899;3854;2321;4369;1815;3352;5400;2842;5402;5404;5407;310;311;2883;3398;3402;5453;3918;4451;1904;6000;3446;3963;3966;894;899;3974;3983;914;3989;3483;5534;3999;3501;2484;2488;5048;3514;4047;4585;5609;1012;1017,
0004,4608;1537;1539;4;3078;3590;5126;3594;1547;3084;1037;1039;2064;3606;2071;536;25;1564;3104;545;34;35;1572;38;3622;1066;4142;4144;5168;2616;3640;4159;577;2115;69;2118;1607;2120;2121;3145;75;5707;2126;4687;4689;1107;596;2132;2131;2133;88;2134;2135;5203;1118;4703;4704;5217;1122;2659;5732;2662;2663;3179;4716;4724;2679;2680;4216;5241;5244;125;2685;127;5247;5250;5115;3210;5625;4751;3733;2711;1177;3738;4769;5629;675;2211;3748;2726;4267;5631;3758;5807;179;180;5302;3769;3258;701;5309;5821;5823;5317;1224;2760;3274;4811;2252;2765;5321;5324;5838;5435;3796;213;3797;4822;1240;5333;5337;5844;5847;5858;1254;2278;2792;5871;5874;5877;5879;5369;3834;5883;2301;2814;3839;3840;769;2306;2307;2820;4865;5375;2823;2824;5893;5897;5898;2828;5389;4366;1299;276;2326;792;2332;2334;2343;2344;5416;3888;4914;5429;3894;4407;4920;313;3898;3899;2876;5432;2366;3390;3903;4415;4416;3395;2372;4417;4418;5443;5956;329;4937;5449;3916;5450;5957;5963;1873;2385;1363;2898;3411;5460;856;5981;3936;5986;868;870;2406;2408;5478;1899;2411;365;878;2412;2416;4465;882;371;6006;2423;3449;2426;1915;2940;4478;5505;3458;2947;4487;2440;5512;1420;3469;3473;2450;403;2452;3985;3987;4502;408;5521;5522;6039;4001;5032;938;5548;5886;3504;3507;3508;3509;3510;5558;3512;1977;3513;4537;3004;4028;4539;5052;5564;5565;4547;1989;3525;5578;972;4557;5580;1999;2002;4051;981;3541;1498;2011;2015;992;4578;5603;3048;3049;4586;5099;3564;4589;5612;1007;4591;5942;2034;1013;2037;5621;2040;5622;3067;2557;3071,
0005,3584;5632;1027;4100;4611;518;5640;3081;5131;4108;3085;5132;2575;1040;2577;3603;1045;2069;5655;1048;5145;1052;1565;542;1054;1566;2588;1570;547;3615;1573;4133;5663;3626;1068;1580;46;2605;3118;49;1586;3628;3630;3631;4145;3639;4664;1593;5688;5690;1598;3140;2630;4166;1608;4679;5335;1099;2636;4171;5197;591;2640;4690;4692;1110;3160;4697;1114;2650;5726;3167;96;1121;610;4090;4192;4705;5336;5845;106;5228;624;2673;626;4211;2676;5111;119;4215;121;5753;5755;5846;1150;1663;1664;638;642;4226;5249;1669;5764;5767;4232;137;3724;4237;654;5260;1681;4242;3734;4256;5797;1703;4266;4782;1199;3252;694;698;188;5822;2752;706;3267;5829;4294;5830;5832;713;714;1739;5833;719;1743;3281;2773;726;1751;4312;4821;4314;1755;1756;1757;3292;2783;3294;4316;1762;1763;1764;1253;3812;1767;744;1768;1769;1770;1771;4328;4329;5353;5354;4337;4322;1779;3315;3317;4339;4340;4343;5850;2298;4347;4354;771;5890;261;1289;266;5390;3343;1296;5902;5905;787;4372;5856;5912;4890;1307;1308;1309;2843;1315;4388;5930;3883;300;1325;3884;5934;5939;820;3893;5862;5660;5355;5951;1345;834;2881;2882;5356;5952;3401;2378;5961;5965;849;1362;851;4435;2901;3414;3925;344;5464;5969;860;4956;2910;5985;4452;2405;871;3438;3439;881;6003;4468;6008;3450;6010;892;383;898;3459;903;3464;4489;3978;5514;5518;5676;3984;6033;4498;6035;4500;6037;3479;3492;3499;940;2476;4013;4015;5549;4018;4020;5559;1464;4025;5567;3010;1475;3012;3016;1481;3530;4040;2508;3021;3022;3535;5071;3539;1495;1501;5085;5089;5090;3044;5096;5608;4074;2030;5103;1008;4082;3059;4085;5110;1527;4088;4089;2042,
0006,1540;1030;4618;3083;4619;4109;3599;2576;4626;2582;1050;1058;1059;3619;4131;569;3645;4157;5696;1113;1635;2153;4715;112;5233;627;3190;3703;4220;637;5251;1162;1675;1677;1678;5776;5265;1692;1695;1185;1698;1701;1702;5286;5292;1200;1202;697;2756;3783;5322;205;721;5849;5346;5349;751;752;757;253;1280;1281;3337;4875;1300;1304;2329;288;5412;297;299;1337;5947;4927;5964;1361;2897;1364;864;1409;3981;1430;2454;1436;2972;932;934;2983;5543;2985;2989;5039;2995;1975;952;953;1467;5055;3522;3013;4039;3529;3019;5067;5072;3537;5075;3037;3038;3041;5602;4580;1514;4595;1529;2554;3069,
0007,1036;533;2601;1076;1083;2622;4675;1605;2648;94;2660;3694;115;3191;631;120;5245;2689;2179;2180;2185;2190;2192;2705;2706;659;2197;4252;158;2723;2724;2728;682;683;684;685;686;4269;3761;2226;4280;1210;5308;2751;2753;5839;4305;3287;1754;3291;5338;223;5864;1260;5359;3837;782;2325;791;4376;4379;4898;2863;5428;4917;5944;1346;340;5472;4449;4455;360;3432;4459;6004;6005;4474;905;1424;5526;3484;5532;3491;3494;3498;4528;4548;5065;970;4056;5598;2019;4078;4607,
0008,2049;4103;8;2070;24;2073;2075;28;2076;2078;4125;4129;40;51;2109;4160;2119;2123;2124;2127;4180;2136;4196;4200;4227;2183;142;4241;146;2202;156;157;2205;2206;160;2208;2209;4255;167;2222;4270;4275;185;2237;4286;192;195;197;2258;2269;2270;2271;224;225;2277;2285;2288;243;2291;2292;250;2299;4352;4353;2312;2314;2316;2323;2328;283;2333;4382;2336;289;2338;2341;4390;2351;4401;2355;2356;2357;308;2359;2360;2364;2365;2368;2370;4422;2375;2376;2379;2381;4438;2391;2393;2399;2407;4466;4472;4475;388;4493;2446;404;405;4525;4526;4532;4543;2518;2519;4573;4584;4602;2555;4604;4614;4616;527;530;2580;4636;4649;4651;2608;2628;2631;595;4696;602;2651;4702;609;613;620;2692;645;4744;2698;652;658;661;663;665;4766;673;4770;2731;687;688;4795;700;2749;2757;2758;2770;2772;728;730;2779;4827;4835;2791;750;2798;2801;2802;2809;2821;2822;4873;2826;2829;784;2839;794;4894;2847;4901;2857;2864;821;2875;836;4944;857;858;859;2907;862;886;889;2954;5019;5024;5036;5037;5038;2992;2993;951;5050;5051;961;3011;965;3024;3028;3036;5084;990;998;3052;3056;1010;1015;3070;5119;5125;5133;5139;3097;5149;1060;5156;3110;1071;3125;3127;3128;3135;3137;5193;1104;1117;3171;1126;1127;3174;3175;5223;1131;5224;3182;5232;1137;1138;5235;5242;1161;5257;3212;5261;3214;1170;1173;3222;3223;3226;5280;3238;1208;1211;5312;1218;1219;3273;3275;3278;1238;1241;1242;1250;1256;3310;1267;1268;1270;3323;5372;5377;5378;5381;3335;1291;5388;1294;5391;5393;5395;1301;5399;5405;5408;5411;3367;3369;1323;5420;1327;3376;1331;5427;1334;1335;1340;3389;1341;1347;1349;3399;5452;5454;1359;1360;3408;1369;3417;5465;5471;5482;5491;1399;5500;3460;5509;1417;3474;1429;3477;3478;5533;5537;1442;1446;5542;5547;5563;3518;1471;3519;5573;5577;3532;5581;5584;5585;3542;5591;1502;5600;1509;3559;1512;5607;1517;5614;1522;3571;1534;5637;1542;1543;1550;1552;1557;1559;1561;5665;5666;5667;1581;1582;3629;5677;1594;1597;1602;1603;5703;1612;1615;3667;1621;3673;1626;1629;5725;3682;5731;5734;3700;5751;5752;1657;5760;5775;5779;5781;3735;5796;3762;3775;1728;1732;5841;1749;1750;5853;1765;5873;1783;3838;5892;3847;3849;1809;5907;3861;1814;3862;5910;3872;3876;1830;5927;1832;5928;1834;1835;1836;1838;1840;1843;1845;1848;1849;1850;1852;5948;3908;5959;5966;5987;5995;5997;3952;3955;3967;3969;6019;6020;6026;6038;6040;4005;1974;4027;4038;2029;4084;4095,
0009,3333;268;144;785;4497;149;3864;4506;3612;4515;679;5758;5553;4150;1466;4154;5692;957;194;2755;2500;3659;4173;1879;3674;4063;5983;2785;3681;4985;3061;2552;2553;4350,
