,boycott_uid_set,like_boycotters_uid_set
0000,3590;3592;3081;4107;2572;3596;5645;1551;2064;17;4118;2583;1569;2593;5156;4649;1071;5679;1586;3635;4659;53;1591;1595;2124;4686;4687;81;594;1113;2656;3684;3688;1131;4204;1134;4207;3697;3699;3192;2171;2683;2176;130;2178;2691;5255;2185;5770;4748;661;3226;3228;669;161;5629;4772;5630;5801;170;682;2731;2733;5805;2738;5300;2232;1724;1727;4801;4806;714;716;2766;1746;2259;5847;1753;2781;3810;5858;3813;2790;5862;3304;3306;3819;4333;239;4337;5363;1268;2293;3317;3834;1275;1790;1802;4363;270;4375;3864;1306;3356;3874;1315;4898;3365;295;4904;811;300;2859;303;1842;307;2866;5427;4406;5948;829;3902;5446;1863;3400;330;3403;3916;3412;346;4959;5484;1901;5489;2933;4470;6011;3452;2942;4994;4484;1926;2438;5000;5512;2957;3474;1940;1947;412;413;1437;1949;928;5537;419;2468;3501;2483;1972;437;953;957;1983;4032;5056;4034;451;5064;5582;4050;979;1498;3036;2526;5598;3044;5094;5097;5100;5102;5103;4084;5626;1021;4094,
0001,5504;4484;3592;5000;5384;3979;4748;3597;18;3474;3858;408;3864;1306;4507;1697;2593;4645;1062;4904;937;5033;1835;2860;307;184;953;4411;2750;1983;583;2631;1481;4298;4809;2124;5447;5704;5841;2003;1494;343;3032;3286;346;5847;989;5343;97;2145;2148;3560;233;5483;1645;2157;4206;884;4086;1530;379;764;6013,
0002,2944;2689;5504;2691;4484;5255;3080;3592;4107;4363;3597;4748;5008;5396;3095;4507;3101;1697;162;4518;4904;937;1834;1835;44;2091;1586;4659;951;953;58;3002;3769;4411;3390;1347;5701;583;840;1224;4298;5707;2124;5841;1746;2259;4050;5845;5847;3032;1241;346;985;1885;5343;2145;5090;3688;5483;1132;4206;623;4595;4086;3704;764,
0003,1536;3073;3074;5130;3596;5132;5137;2070;4634;2080;1569;2593;4129;1062;5671;4649;5165;5166;1586;567;1591;4154;4667;5690;3136;2113;577;66;3649;582;2118;1098;4172;81;594;4177;4179;597;91;4187;4189;4701;3167;5212;2657;3684;101;3686;5735;3688;1131;4204;1134;2159;5743;1649;626;2163;3699;4723;5753;2171;5756;5757;3711;2689;2691;1670;5255;5768;138;3210;4755;661;3221;1180;1692;3744;5629;2726;3238;1192;2729;682;3755;1718;186;1217;4801;2243;1732;3781;4293;4297;714;4815;5839;4817;1746;2259;3287;5343;3296;3809;3810;4320;4324;3813;2790;2791;5862;233;234;3305;3306;2287;5363;2293;1271;2297;3322;1275;764;3835;768;257;5384;2313;3852;2831;784;3344;3858;2838;3356;288;3872;2852;3365;4900;4904;5936;307;5427;4405;1847;5945;4925;3902;1856;1349;1863;3912;4424;5962;4943;3930;1371;1378;2922;875;3947;3437;5484;5489;372;5499;3452;1917;2942;6013;4994;4484;3461;3978;2957;4495;1940;5528;2970;1437;1953;932;1446;1959;4518;5542;2477;3502;946;1972;437;2488;953;446;447;5056;2497;451;452;4039;5066;5579;4044;5582;1488;5591;3036;4063;3558;5095;3560;5609;4589;5102;2543;3059;4595;4086;1018;5115;1021,
0004,3073;5645;538;4634;5670;1071;4143;567;568;3135;5696;4175;81;4179;86;609;5218;101;3688;1131;3697;121;2689;130;1157;2694;3207;5255;2697;661;2201;4772;5284;1702;2726;2729;682;1198;690;4801;206;2770;2276;1765;2788;5862;3306;1259;3820;4337;761;3835;790;4374;3864;283;288;2849;4904;5936;307;5427;2363;2875;3902;1856;1349;5460;5973;346;5984;2401;2922;4461;372;884;374;4982;5499;3452;894;3456;389;3461;5003;2957;4495;6031;1940;1437;1949;5534;1972;4536;953;5560;4027;4545;451;452;2505;2510;4050;5593;3036;3560;1518;5102;496;4595;1021,
0005,2056;3596;5645;5653;2070;4634;2593;1062;2609;577;4681;81;4177;4179;3158;5208;97;3684;3688;1643;5739;1134;4207;2163;3704;2691;2693;5255;2185;138;3210;3226;5629;1699;2726;1718;4801;3267;2764;4815;210;2259;725;5335;5862;3815;3304;4327;1258;3322;3835;2814;1790;2307;1802;4874;2828;274;4373;3864;4888;5913;4904;5423;3889;307;5942;5434;5948;829;3902;5446;1863;840;4947;2901;346;2414;374;2943;4994;4489;3978;5517;3474;1437;2974;928;2465;1446;1966;953;5596;5085;2526;5597;5102;5103;4084;1021,
0006,1026;3596;2072;4634;27;549;1062;4136;1586;3635;3646;3651;81;1117;97;1635;1643;1134;112;5749;5759;2185;3210;1698;1699;5794;5795;1191;5300;4277;1211;195;2244;710;1224;4298;2251;2764;5329;3292;2793;1258;2293;3833;3842;1802;4888;2841;3356;2340;5413;1835;3885;307;4921;5948;3394;4418;2373;839;5451;5469;4448;1378;1896;5999;2941;6020;1926;5511;1425;3474;3490;1446;424;4021;3521;5069;5582;2002;2526;3045;5100;2030;504;5625,
0007,2145;2308;1221;3140;4484;4904;4201;4298;139;1132;5000;2510;1746;567;858;764,
0008,3596;2574;3604;4634;2593;2082;5165;2117;2118;91;2145;101;3173;3177;1131;2155;4737;645;1670;2694;5768;4236;4752;2201;3738;5275;1702;2726;682;5290;5291;4273;3251;184;3257;4801;2243;4811;3790;4817;5343;5862;231;233;2809;3835;5375;266;3853;2831;3864;4888;3356;2849;2339;2852;4904;1330;307;5427;4925;3902;1343;5952;1363;5469;2401;2914;4994;3466;5007;1940;413;420;4518;1959;5542;1971;953;446;5056;451;2510;5582;5072;2003;4052;989;4589;4595;1021,
0009,3587;7;3596;4623;5141;2583;4634;2593;4131;5157;1062;4135;4136;5671;1586;1591;65;4172;5200;4179;2648;2137;4697;2139;4187;97;4195;5221;3688;5736;1131;2155;4093;3699;2678;3704;2171;2683;635;2689;2694;5255;5768;649;2697;3210;5257;5770;661;5794;2726;682;1198;1718;3772;2240;4801;3781;3296;5862;231;1256;1258;1259;3306;5873;2293;3835;5372;257;3339;2828;5907;2324;3356;4895;288;3872;1315;1830;307;5427;2363;5948;3902;1343;1856;2369;1349;5446;5454;2384;5973;346;1378;2922;875;5484;5994;5997;372;2420;2423;5499;2943;1410;6020;5003;3468;6027;3474;2964;2970;412;1437;926;1949;928;1446;2983;5545;1972;5560;953;3002;4027;1986;451;452;3522;5058;5069;5582;4047;4050;979;3036;3039;3560;4584;1005;494;5102;4080;4595;1021,
