,boycott_uid_set,like_boycotters_uid_set
0000,2113;1220;5285;1961;4970;883,
0001,6020;5363;3348;3576;2684;3773,
0002,2361;1127;4569;3546;2653;5023,
0003,2176;2407;680;4585;3855;5631,
0004,1250;1863;2888;1392;3798;3226,
0005,2978;5092;4398;4783;3537;2451,
0006,2464;3622;5577;3481;1996;3193,
0007,4514;3277;4817;504;1243;2975,
0008,5478;3274;2890;5968;5560;3099,
0009,5890;486;2637;2486;1719;3900,
0010,3712;1570;1326;1039;2642;510,
0011,3392;5414;5982;1848;4252;2622,
0012,4301;1775;4303;3377;1335;5753,
0013,3843;2117;1670;742;957;2559,
0014,2307;3907;5093;1577;4429;2714,
0015,546;3430;5518;176;1586;2686,
0016,673;1676;46;3703;4888;2106,
0017,2788;5;5865;2446;2767;3440,
0018,2816;264;2638;4667;734;4927,
0019,2656;4872;2795;1265;5619;2300,
0020,4320;2117;4133;3731;4020;374,
0021,5409;2148;3695;5328;5425;2879,
0022,6019;3941;3279;2640;1936;4983,
0023,2533;2953;3339;4562;5114;4414,
0024,709;3528;2729;2542;3130;797,
0025,5161;2987;3467;1458;6040;4125,
0026,2659;5444;1839;2929;4529;1110,
0027,1024;3909;2951;1864;5293;1426,
0028,3106;2595;2348;2710;1752;2619,
0029,2722;5002;2797;3443;5914;5215,
0030,3205;1445;424;3145;1076;310,
0031,1280;2018;1328;2995;5558;62,
0032,964;4615;2636;3373;2130;4244,
0033,961;387;5294;1045;2968;1212,
0034,459;5037;5106;2708;3319;1048,
0035,5769;1491;4724;5045;1363;3358,
0036,4289;129;1867;331;571;1436,
0037,4332;1491;3284;1623;1881;3807,
0038,4839;4302;2967;3130;955;4605,
0039,5059;4837;2225;1587;1431;5150,
0040,2249;845;5302;662;889;124,
0041,1729;1092;3847;2539;3004;5950,
0042,3203;2632;912;595;1054;1599,
0043,1894;4876;4432;5430;3769;861,
0044,2433;3750;2922;3313;2452;5503,
0045,1158;1775;5905;625;4598;4541,
0046,5408;136;1579;555;5134;3768,
0047,2725;1420;4972;1388;2007;4249,
0048,1889;3781;5993;48;1403;4222,
0049,5987;5871;4093;2138;3293;254,
0050,3817;6029;2350;5652;1175;2174,
0051,5923;5173;1590;2709;1914;3675,
0052,3365;5771;1551;1203;2712;4891,
0053,773;647;4943;1200;3217;3740,
0054,4099;1797;1100;2573;3093;3061,
0055,4612;585;169;1198;3474;694,
0056,2756;2024;4074;2956;908;1653,
0057,5890;4744;1782;2711;862;2815,
0058,5732;5733;72;5580;5301;4190,
0059,5986;2155;3506;4120;4668;4703,
0060,193;2148;3336;2666;5904;5656,
0061,4936;1579;783;5175;4571;3582,
0062,1763;3927;4729;3483;733;414,
0063,4161;3046;1840;4659;4981;5719,
0064,3424;4352;3718;2985;3598;3348,
0065,2114;5092;5260;4209;120;5756,
0066,1768;553;4273;3059;1780;5555,
0067,5927;4623;921;4922;3931;1053,
0068,3684;1258;4958;3346;4151;2910,
0069,1281;2310;1709;3151;3795;5150,
0070,65;1891;1324;4628;4152;1082,
0071,5029;554;2603;2219;3133;5311,
0072,1568;1190;5357;4946;2867;5557,
0073,1952;960;3810;2086;3442;4598,
0074,891;964;3180;2318;3760;2363,
0075,224;1191;713;4559;16;3641,
0076,3426;5226;2667;686;532;1980,
0077,1570;230;2601;3628;3916;2426,
0078,2282;1200;4629;2714;4572;4765,
0079,5384;557;401;1202;88;2911,
0080,5127;4011;4428;4812;335;4918,
0081,1664;4592;5617;2134;2268;5373,
0082,4614;935;3304;2952;2002;2717,
0083,2531;37;2506;1645;5075;5524,
0084,1414;108;3727;5105;5873;4698,
0085,1702;3529;3946;3276;1522;3642,
0086,4797;4679;5981;4400;4179;509,
0087,2528;3843;652;3600;2427;4765,
0088,2761;2380;5650;1941;5046;4633,
0089,4837;2666;908;660;1206;668,
0090,457;331;974;2295;927;3839,
0091,5474;5867;316;919;4890;5436,
0092,4227;2468;2085;3495;4241;1426,
0093,1029;3114;4077;118;791;1247,
0094,2080;4935;974;3315;792;5082,
0095,1350;1163;3118;5905;5586;3351,
0096,3554;4484;5861;1319;1293;3733,
0097,2018;78;3349;5562;987;348,
0098,5376;4166;5674;2551;3896;3096,
0099,1953;2309;431;2840;2717;5982,
0100,5891;1195;3152;4662;3736;1439,
0101,5089;1283;644;3238;2484;4953,
0102,645;1895;1577;3916;4210;1142,
0103,5185;5990;169;111;4982;5087,
0104,5665;390;487;5735;4599;3581,
0105,897;2792;2024;5578;4232;3773,
0106,1888;4101;966;4946;436;477,
0107,1862;4617;5620;3511;1978;5631,
0108,992;867;5683;1629;3198;2655,
0109,5890;111;3920;5780;3990;312,
0110,2824;1865;522;4337;3187;1533,
0111,3066;4040;1672;1431;2778;3164,
0112,1793;4936;3466;5551;2101;4856,
0113,3620;1355;3628;5490;4508;2204,
0114,3394;964;1189;3592;3434;3126,
0115,5255;5482;2895;3217;439;3710,
0116,3046;1994;3851;366;4370;3455,
0117,3193;2329;3753;1130;208;1881,
0118,1925;3592;233;1172;5271;4092,
0119,1924;2726;3929;1275;5917;5177,
0120,2984;5160;2349;5082;1339;1246,
0121,1731;3560;4685;4691;3544;1982,
0122,2730;3562;4720;1298;2365;2206,
0123,5824;326;3047;1228;912;3290,
0124,5123;2180;207;434;5398;1467,
0125,3809;2951;3880;4522;1103;5726,
0126,5864;5098;5996;692;5461;1310,
0127,3648;1250;1347;2703;4759;4122,
0128,1094;623;466;626;1170;1462,
0129,5768;4655;4182;1014;1051;2431,
0130,2494;4682;2878;1462;5725;5534,
0131,64;648;4333;5047;4892;5406,
0132,358;1511;3768;3126;1464;5246,
0133,5764;836;460;1202;3508;3511,
0134,209;5204;3190;6040;1561;474,
0135,1088;455;4327;5196;5132;6002,
0136,4963;2117;3176;395;3701;1593,
0137,2055;1096;1865;335;4400;1138,
0138,5924;4206;1198;3216;954;4415,
0139,912;723;372;3894;375;4571,
0140,355;3396;3493;4297;2282;1403,
0141,3557;1482;5869;3757;4532;5624,
0142,2466;675;5580;1229;2770;3829,
0143,5923;3847;713;3020;717;1627,
0144,267;2573;2521;2202;5661;1246,
0145,298;2417;1426;1365;3093;5183,
0146,3140;2762;1873;689;4596;2555,
0147,321;1674;429;3696;3413;2715,
0148,2632;4042;6027;4301;4207;5974,
0149,4486;5257;5521;2805;5242;4669,
0150,4679;4136;3273;4424;4312;1757,
0151,33;1768;4073;82;1658;5946,
0152,5600;5698;4679;5484;1422;2520,
0153,2179;5799;4467;2967;3801;2331,
0154,645;107;378;2235;860;2365,
0155,1155;1415;5320;858;5373;1502,
0156,5185;41;1875;3382;5847;2745,
0157,4319;5834;2609;5714;3862;4255,
0158,3813;872;1684;2453;2229;3966,
0159,2496;386;610;1188;4680;2200,
0160,1735;3275;4878;5934;5267;92,
0161,4102;2804;3547;183;248;3643,
0162,2505;4397;4273;3346;4789;2749,
0163,98;1512;2248;18;4147;703,
0164,5314;4612;3050;1230;2003;1559,
0165,5536;1889;1609;2224;5041;5087,
0166,2848;3777;4580;3973;4018;5846,
0167,4547;4009;2892;5496;1851;5501,
0168,5417;2895;3984;5716;4312;541,
0169,3200;1515;5708;3377;369;4024,
0170,3277;4397;2322;3225;4924;2525,
0171,5662;1868;110;2321;5466;3550,
0172,5952;550;6030;948;4918;2331,
0173,3137;5415;300;2517;5141;5565,
0174,358;2954;1836;1679;2703;3249,
0175,2469;1656;4974;3313;1080;2010,
0176,2571;4621;1744;3607;4185;5754,
0177,2691;2928;240;5139;2452;4535,
0178,3298;4868;3248;3761;4920;1339,
0179,3859;438;5592;5146;3323;4063,
0180,224;3364;1768;4590;4021;1531,
0181,2851;5928;4312;1177;3611;1276,
0182,1122;3196;178;3122;3189;4764,
0183,3232;5543;2834;1907;5272;1884,
0184,1514;1936;2580;2134;4313;58,
0185,3968;3781;3790;4824;3580;541,
0186,5538;3204;4036;1131;5198;90,
0187,640;3567;5425;1937;3956;3738,
0188,204;1295;5743;4570;1243;2046,
0189,5025;3681;3;552;1622;4382,
0190,4359;2358;5718;5017;3036;1151,
0191,4039;5066;2701;5681;3825;3125,
0192,960;1703;209;2484;5690;1243,
0193,2526;1321;3088;5018;1246;5311,
0194,4257;4973;2514;4723;4882;5086,
0195,132;5415;5782;5079;5112;3773,
0196,2217;5425;853;3320;2619;892,
0197,2529;5154;4561;2551;4314;3679,
0198,3360;5733;1031;137;2558;2463,
0199,3300;5451;4878;5747;3509;2044,
0200,901;3719;5514;2289;3315;5047,
0201,3844;1064;3608;3148;497;1624,
0202,609;3940;5275;5808;5042;4667,
0203,2949;230;4206;5744;823;2398,
0204,5633;5954;1126;1798;622;2806,
0205,66;1124;1641;17;1496;2142,
0206,5922;4420;2226;5845;4409;3674,
