,boycott_uid_set,like_boycotters_uid_set
0000,2054;2954;11;5515;2960;2451;3606;283;927;4383;5279;3491;4516;547;1705;298;3503;4529;2610;5555;824;3518;5567;5568;2113;4035;1988;963;2886;71;3657;2378;1483;5963;5708;4178;215;2520;3289;87;1630;1632;1379;2020;3299;5091;1895;3048;4837;3050;1131;4332;3436;1263;3823;3827;3829;2805;1527;633,
0001,3328;4097;6018;5378;389;3207;2313;265;3085;1677;270;656;1425;3982;2194;2324;276;5245;2973;414;35;4260;5027;2598;4388;1960;3238;3757;3118;4911;3507;5173;4405;440;5564;3391;192;5954;1478;839;5064;1225;2002;211;2901;2775;217;346;4827;5732;877;493;4719;4848;3953;1521;4598;2422;4346;2173,
0002,3328;4608;514;2435;5252;1797;1543;3850;4490;908;4494;3985;276;1173;926;800;2720;1312;2854;3625;5161;3756;2996;2613;5174;3895;2872;5179;1982;3776;322;3779;4162;453;1602;455;1993;2510;3411;1876;4567;91;5467;5725;5344;5601;3043;4332;749;3438;5740;3824;3053;3953;372;2293;1270;761;3962;4221,
0003,1153;3202;3715;3460;515;2951;1930;1676;5910;3225;4891;3230;1310;1695;3489;5283;4901;4645;3627;2860;3245;2223;2864;2096;1204;2870;4151;183;3513;4929;3910;2763;3019;2000;210;2515;1748;2774;1623;2647;1881;3325;5466;89;2521;480;612;229;2028;2284;1264;3952;883;1525;4726;375;3960;2169;5372;1149,
0004,5248;4227;133;8;4876;2701;1037;2572;529;5521;3858;2708;4247;920;409;5019;924;1821;288;2853;2726;38;4775;5289;3109;4143;3887;1077;4922;444;5567;4799;1089;3008;3524;966;1993;1225;1487;4688;5332;473;4825;3675;3580;2652;1504;5856;3304;5995;5230;2158;2544;4594;4595;2549;2550;5879;3064;636,
0005,1410;3074;4100;519;5768;1290;780;1933;1424;1169;1170;529;272;2069;5654;3223;152;24;4754;4259;5414;4647;1457;4405;4278;2488;1592;58;3005;4033;4546;5569;2373;5317;1992;1609;5965;462;461;2127;3921;5074;5843;3924;1497;4700;860;96;2531;5988;3173;232;1770;492;5229;4595;4212;5109;6010;4093,
0006,648;4360;398;1807;400;530;2069;1302;2333;3613;1439;1570;1915;4643;1573;549;167;4904;5157;2092;4909;4528;3249;3381;4280;185;2106;3646;65;1091;2500;4806;3529;1995;2131;2772;4055;1751;3162;2655;2144;5729;1505;1507;997;231;5353;874;5228;5869;1263;4465;2035;1652;2037;1910;4471;4730;5755;5247,
0007,5505;4354;4995;2819;8;4361;2058;3339;1803;4875;5384;1936;5910;1304;3742;2847;4128;4003;804;5028;3113;1833;2607;4027;1219;4036;5828;198;1481;5834;202;1226;5453;5071;3024;851;2646;1367;4568;1497;734;1760;4834;1763;1892;740;3942;4070;357;4841;4971;5484;4718;3567;4850;5106;3442;3317;504;5497,
0008,4736;3332;2180;4868;5127;2567;4745;3083;1656;1402;5651;2325;536;5914;1181;159;2977;3491;4643;1957;1960;2345;4136;811;5164;3117;4654;1070;4402;3251;824;2876;320;5313;1856;5699;1860;4037;2634;465;3281;3413;1111;5465;3034;4570;3934;864;5090;2659;5988;5861;1384;2159;4467;3315;373;2424;2298;3709,
0009,1922;2696;4488;4361;4239;1553;532;2197;150;1022;2968;4248;5658;2077;542;40;2552;1064;3243;4907;47;1459;180;5942;1729;4803;1091;1093;2887;1485;3151;2000;4177;4050;5461;343;5592;2008;2394;3931;4574;4448;2145;5476;1893;4710;486;2025;5227;3180;365;3307;2800;3568;3312;115;886;5624;1405;1534,
0010,387;1400;1925;1798;1928;3080;765;3850;4628;2327;1560;2586;4635;2079;288;2977;2727;4780;4396;5679;5553;949;2486;567;5688;4918;5055;4927;3010;2755;3523;4935;967;4425;3914;4170;840;2893;2382;5710;5201;5715;1495;1242;4447;353;996;2151;5351;2537;4970;2926;1392;2290;2419;2803;5109;2422;504;3069,
0011,5376;3713;5893;6022;3469;1421;1299;5270;1430;5912;1945;5531;1053;3233;5793;3491;5922;3240;1322;3882;1198;5040;2995;1844;950;2614;4025;5947;4156;2877;3259;5056;4928;67;3267;3067;4551;1095;3530;3786;849;5203;5718;3543;1751;3292;5214;1762;5606;2409;5996;3820;5741;5488;2163;6005;633;1530;891;2686,
0012,5250;3075;2947;4997;4354;1547;12;4236;5771;2319;4112;5138;402;2327;3099;3995;2719;3999;159;5152;1696;5415;2856;3753;3240;1069;2862;559;5425;3889;3893;186;2497;2242;2884;5833;3657;5834;5837;5582;4947;5076;725;5466;2907;861;479;1633;5475;4199;3050;1515;4971;5741;1774;624;1393;1783;765;2174,
0013,3074;5639;2953;3979;3083;5005;2830;2061;3343;4365;147;405;1150;1184;5665;550;1320;5801;5292;4782;687;4018;2744;953;699;1595;3773;702;3006;4541;5572;1734;4295;1479;3401;2122;968;4940;466;3028;4566;3415;470;2400;1763;3942;2919;4328;4204;2797;1388;3056;5616;4338;2032;5620;634;3451;3708;2302,
0014,3968;513;3074;2567;650;5770;4363;1038;5780;5143;1049;4764;1694;542;928;3617;4129;3112;4266;811;3626;4651;1066;4141;4906;4522;2610;1325;3131;4415;455;456;74;3277;4430;3279;3920;5837;3026;977;5709;5973;4951;88;5338;3548;2656;481;4450;5859;5730;741;2405;4712;365;4080;3956;3702;4727;2170,
0015,3200;5633;258;3334;5257;6025;5259;4492;3471;2448;1948;5023;4770;2723;1445;3366;5669;4521;682;1963;5167;4274;4787;4022;1592;1849;5048;2363;2620;3516;1726;2108;5186;5446;5833;4557;594;5077;853;3671;472;3961;5082;3931;5589;1630;100;231;5864;3945;1773;4718;4077;2928;3437;3949;4981;5240;2297;2170,
0016,5505;1665;1540;1413;5637;4231;5383;4488;1035;5517;398;2063;2194;3731;1432;3100;2205;5405;5664;2849;162;4134;39;5420;560;2995;3124;4661;1078;1719;2489;4284;5309;4544;2880;837;3787;1485;2129;3923;980;2394;5981;4446;4703;2144;4964;5606;3047;2921;3946;1647;2288;114;5746;5748;2294;632;4601;5754,
0017,1920;4223;386;2306;645;2438;2439;5771;4620;1421;1676;5007;4880;144;4607;917;4117;895;5531;2203;3363;5797;3621;2856;3625;4522;555;428;4016;49;2352;5683;4788;5173;1981;829;2495;708;4165;1607;4168;3408;5200;3282;338;5842;2644;4182;1364;1880;4441;1626;1505;4970;1518;4591;627;1141;3704;5247,
0018,1029;2057;1930;4493;526;5135;2448;1172;3732;3606;4247;3095;5881;3482;1441;2081;3365;2214;1446;2217;1193;2349;4653;3763;1205;1462;5175;5048;5946;4155;4412;3773;4541;4418;1744;1360;3666;2899;80;5846;4956;2526;2527;3680;747;3821;3054;4335;3697;754;5111;4338;4981;370;1783;1011;5113;1402;5499;1020,
0019,1281;4225;3;5766;3214;271;3344;147;3861;2582;279;5784;5013;3873;5794;5156;5160;2217;3885;4144;3120;5554;563;5300;3765;4787;4276;1974;5693;319;5440;4290;3139;839;3786;1613;590;1104;4439;2775;856;4699;5085;4190;3039;4192;4450;1764;4712;2411;3948;2548;2293;4982;2807;4085;1654;1403;3453;4990,
0020,4481;2305;3;4;4483;4098;519;5636;3470;271;1428;3863;291;4644;4516;4262;1319;552;4648;4008;5932;2735;177;50;51;54;1719;5434;3004;3773;5439;454;583;3656;4426;2379;1870;4559;5454;465;849;5714;1112;2523;5598;5472;1633;5984;4706;4197;4070;3945;5226;5356;1518;5614;5872;1012;501;4734,
0021,5248;4736;1794;4357;4743;1290;1164;3853;1936;2323;5015;5144;4761;2074;280;287;2084;4261;5414;942;4018;4660;956;3006;1732;2632;4809;4040;3278;4816;1873;2514;2130;1104;4309;4952;2904;5594;3036;1117;2016;1760;3301;997;1254;3813;4073;5866;5355;5745;370;2291;2163;1141;4466;3955;376;2041;1146;4595,
0022,3713;1409;6019;2948;2052;903;1671;5513;5515;3729;3219;2325;3478;1658;2200;5019;3611;1184;1571;3236;5923;2601;2858;5674;1835;2733;816;2228;5941;2361;5696;5057;5060;2375;4808;3576;1482;1737;4684;2510;5840;4306;5843;725;2134;4825;1883;2396;2017;1506;2274;5604;1379;4078;4851;5493;4598;4984;890;3966,
0023,2432;1793;3590;3079;1928;4361;2826;5131;5772;1036;14;4879;3983;2321;5646;4756;3736;5018;2587;1562;1434;2334;1567;1207;5689;5562;5439;961;3397;4934;1992;1354;4555;5329;5713;2516;4054;1622;5718;473;2263;2907;3931;5336;3804;4064;739;3431;1001;4971;5612;1131;1006;3055;1008;244;3446;632;3577;2686,
0024,5632;258;262;4237;3347;788;1429;2326;3989;6040;794;1440;1057;2341;423;3879;1662;683;5292;3117;4779;3503;2347;177;5886;5547;3385;2874;2174;4541;3135;2367;5055;2633;1737;1097;5324;3788;1358;4815;3662;4177;850;4951;5467;987;4841;4329;619;4204;1645;366;1262;4078;1521;2928;4213;633;4733;4478,
0025,1024;4353;3713;4484;1290;3596;3853;1292;1679;4240;1939;3221;3480;1689;4766;5921;5922;1571;934;4396;2989;943;306;5043;3764;180;5689;4794;2748;3134;448;5825;5185;964;709;4935;4179;3796;3157;214;983;4312;4947;2388;5595;349;224;2784;3554;5730;737;998;4200;5224;3690;2668;3436;4592;880;764,
0026,5635;1411;5384;6026;5260;528;2065;4504;5786;1691;1562;2464;4515;5800;4137;4905;2092;1069;2350;2481;50;5297;3253;1206;439;694;2105;4794;1210;2741;4158;3264;5443;3532;4946;983;5207;216;4060;988;863;5473;98;227;4836;1379;4325;994;1514;3563;2154;4975;4336;2929;5107;4597;1782;2167;2805;6010,
0027,2561;1284;518;519;648;5770;2827;2190;785;401;273;2835;1942;4376;1177;4890;4252;4514;1830;4903;301;1206;5303;3382;2745;1722;3775;66;197;5190;5831;4296;2890;207;3536;2129;3538;80;2644;4821;592;5467;5341;3422;4447;3556;5095;4968;3688;1895;2413;2414;3184;1523;1780;4086;3319;890;1147;3454,
0028,1;4229;647;1548;2192;5393;2202;2459;3741;5156;4520;1580;5806;943;3634;3890;4278;4408;3001;60;5184;3266;5956;4294;2631;2248;2632;4298;2249;1231;3919;2130;5331;1236;3797;5718;4439;220;1376;1634;5987;1508;2661;1378;5863;1253;3299;5865;1003;4975;4848;5872;3440;3700;629;502;4984;3832;1913;3454,
0029,520;2443;1035;3852;782;1421;4241;1912;5372;1306;4891;2972;1821;2974;1565;4386;1442;1574;2858;2859;1973;1590;695;3256;5946;5819;5694;64;4161;3522;2500;2630;586;1101;5071;3152;5713;5970;5080;1241;2010;603;5468;2905;2392;5977;5978;1378;1896;5098;3565;5998;5101;626;5491;1272;5371;124;5501;382,
0030,3332;647;5895;5389;4621;275;2709;6038;3611;547;1447;2218;5419;1067;2861;5546;816;4913;2741;2998;3511;5814;5946;2619;5309;1726;3447;4803;2884;3013;326;839;5959;1731;1734;2633;3661;718;464;4178;3667;5076;3541;2774;726;731;96;3168;2018;868;2535;1769;1899;1650;2548;1269;2167;5112;378;3067,
0031,4610;3203;4100;1671;2312;5772;2448;2577;1938;3859;3732;275;2449;4881;2580;5628;5277;796;5789;3621;1702;3111;1191;2610;1589;311;5815;1848;1466;2363;4924;5697;707;1352;2126;5713;851;853;3670;857;5729;3938;2278;1766;1769;1644;1645;3565;4463;4208;5357;5491;1142;1783;504;3062;3067;5116;2814;1399,
0032,3330;4868;1670;1287;1160;5517;402;5779;3606;1814;2328;5784;918;668;3740;544;3619;3235;2467;1955;5545;3242;171;940;5165;5934;4527;1584;174;690;2612;4661;1465;3901;4926;3647;1857;194;4422;3398;328;3401;4943;1234;2387;3546;5082;5596;3679;992;1637;2151;616;5993;3438;4724;3446;5370;3963;1535,
0033,4480;3588;132;6022;774;4231;1421;141;1167;1936;913;4367;4624;5653;533;2837;1946;5021;158;5795;5796;5797;5926;166;3877;4394;4523;685;5294;5936;2610;947;5299;2741;2228;1716;5300;3768;4032;1728;1472;5059;66;582;72;4045;2137;5112;1758;738;2018;3173;872;1898;1516;109;5103;2420;1144;5627,
0034,2305;2561;899;4871;264;393;2186;3340;3089;145;2578;3349;150;1686;3742;1822;1191;5416;938;2987;1194;2858;3244;5937;5809;2100;1972;2232;2618;2364;1340;4672;4928;5187;1989;3014;1095;712;5832;2760;5450;2373;4173;5833;1873;5463;2775;5337;5978;3287;3040;5222;5869;2541;1519;1263;1137;1525;3574;5880,
0035,5507;1928;5513;11;2445;4367;4751;3729;2703;3353;2842;1691;6009;29;2334;799;2851;1955;1450;811;174;3122;1918;4660;5685;438;4021;3379;3636;4538;2235;5435;1460;5694;3006;4674;3395;4937;332;716;5580;4180;1620;4950;1622;1492;1755;4316;4831;2399;4705;1763;2162;2676;1781;120;2553;508;2686;1535,
0036,4736;2563;5128;2185;3212;652;5779;1684;1047;5400;793;3866;3483;159;5410;2211;5667;3748;39;1832;425;3881;814;689;4788;2683;1724;1726;5696;5184;2882;4545;5444;4292;4422;3144;2889;2380;2128;3665;1493;4056;345;3674;2911;5727;2532;4966;102;2794;619;4460;2027;4206;5233;498;372;756;1147;4476,
0037,3331;2691;4358;7;903;5638;5770;3467;1932;5773;1297;2577;5525;5398;3865;667;2459;411;31;2848;2337;802;5539;1316;4004;5544;5416;3498;555;1965;4399;1072;5811;5556;4535;3262;964;1224;5194;3277;2132;4821;3286;4959;3679;1633;3426;1506;2276;2403;2536;4842;1774;5616;4209;370;1649;1270;4728;1018,
0038,4353;5114;5505;2183;2312;522;2955;3340;1932;4493;400;2068;1431;4890;29;3486;157;4639;5537;546;4898;1189;1832;4265;3368;2091;4652;1325;5680;182;3512;4285;3646;2500;4677;3654;5447;2377;4682;2891;3790;5967;1746;2517;2647;5592;857;1497;5978;3548;4192;5733;616;2282;2543;500;2806;503;1786;3067,
0039,3076;2822;5640;5515;11;2444;1806;3089;5140;1687;1178;668;5532;3358;5919;1569;4769;929;3878;3624;5417;4778;3754;2092;557;4271;432;2741;3254;695;1210;2620;1980;1599;2879;5568;4293;840;1995;5580;720;5840;3410;5331;1877;1110;1111;5595;867;4837;1894;2278;745;111;5999;4081;241;3823;638;2943,
