,boycott_uid_set,like_boycotters_uid_set
0000,3805,
0001,5469,
0002,5565,
0003,3670,
0004,1470,
0005,1529,
0006,1545,
0007,5766,
0008,383,
0009,5786,
0010,1401,
0011,1603,
0012,1110,
0013,5828,
0014,3718,
0015,3420,
0016,3695,
0017,4895,
0018,4327,
0019,5771,
0020,1989,
0021,1512,
0022,1824,
0023,4499,
0024,5949,
0025,5570,
0026,765,
0027,1222,
0028,1559,
0029,4216,
0030,20,
0031,1468,
0032,4452,
0033,5672,
0034,5998,
0035,1297,
0036,750,
0037,5528,
0038,5638,
0039,770,
0040,2577,
0041,3183,
0042,5758,
0043,988,
0044,1741,
0045,5537,
0046,4879,
0047,3733,
0048,2095,
0049,1926,
0050,545,
0051,3690,
0052,3886,
0053,559,
0054,5281,
0055,4463,
0056,1174,
0057,3773,
0058,2705,
0059,3104,
0060,548,
0061,1026,
0062,3888,
0063,2541,
0064,577,
0065,3819,
0066,201,
0067,1457,
0068,4778,
0069,2744,
0070,1169,
0071,541,
0072,774,
0073,1160,
0074,1281,
0075,2134,
0076,342,
0077,5954,
0078,508,
0079,5440,
0080,2866,
0081,820,
0082,4326,
0083,1940,
0084,5188,
0085,1637,
0086,3572,
0087,3656,
0088,3529,
0089,1489,
0090,854,
0091,1258,
0092,1190,
0093,1447,
0094,3141,
0095,579,
0096,16,
0097,1106,
0098,610,
0099,5477,
0100,793,
0101,1009,
0102,170,
0103,3381,
0104,732,
0105,2492,
0106,786,
0107,4208,
0108,3125,
0109,1168,
0110,1249,
0111,1597,
0112,1297,
0113,5594,
0114,1034,
0115,5747,
0116,2695,
0117,1234,
0118,1397,
0119,3956,
0120,175,
0121,35,
0122,997,
0123,2753,
0124,2964,
0125,4559,
0126,3264,
0127,2054,
0128,3204,
0129,4547,
0130,191,
0131,5355,
0132,934,
0133,2250,
0134,1834,
0135,2851,
0136,4802,
0137,3152,
0138,200,
0139,2987,
0140,2548,
0141,5270,
0142,2387,
0143,5251,
0144,2514,
0145,918,
0146,264,
0147,3435,
0148,1487,
0149,47,
0150,5888,
0151,457,
0152,235,
0153,1168,
0154,5781,
0155,1319,
0156,2047,
0157,2603,
0158,4486,
0159,1147,
0160,5284,
0161,3152,
0162,3395,
0163,5016,
0164,1920,
0165,3426,
0166,153,
0167,3613,
0168,5796,
0169,1867,
0170,2722,
0171,5125,
0172,4618,
0173,4454,
0174,790,
0175,4810,
0176,3522,
0177,5940,
0178,1072,
0179,83,
0180,5674,
0181,1586,
0182,5799,
0183,4343,
0184,1524,
0185,4765,
0186,5709,
0187,3913,
0188,4978,
0189,4847,
0190,2695,
0191,3257,
0192,3913,
0193,896,
0194,3986,
0195,3295,
0196,188,
0197,3419,
0198,3185,
0199,3075,
0200,1253,
0201,2189,
0202,4732,
0203,5402,
0204,572,
0205,446,
0206,87,
0207,1682,
0208,3848,
0209,3904,
0210,4488,
0211,3010,
0212,5052,
0213,13,
0214,3069,
0215,1445,
0216,4681,
0217,3707,
0218,1071,
0219,2441,
0220,184,
0221,1236,
0222,627,
0223,857,
0224,2854,
0225,2333,
0226,4394,
0227,3596,
0228,6031,
0229,1856,
0230,4016,
0231,3422,
0232,3177,
0233,2403,
0234,549,
0235,4340,
0236,5664,
0237,5037,
0238,2566,
0239,5063,
0240,2361,
0241,5642,
0242,4945,
0243,581,
0244,1942,
0245,3901,
0246,4946,
0247,3050,
0248,5186,
0249,3531,
