,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,972998,5818,3702,Under 18 excluded,KNNBaseline_item_msd,0.8895198194908955,0.0042327911658157635,0.8827355920797061,-0.002551436245373684,1.1050531934143026,0.21976616508922286,1.1050531934143026,0.21976616508922286,0.7901263098605311,-0.0017066626172604904,0.7916843656312336,-0.00014860684655804146,0.7481153321452794,-0.04371764033251224,0.7481153321452794,-0.04371764033251224,0.7823068923346377,0.7844429944561414,0.7263152083883997,0.7263152083883997,0.9082629840533217,0.9093526196004478,0.8796954210202299,0.8796954210202299,16.95989532470703,16.95989532470703,16.95989532470703,16.95989532470703,75.1727349281311,152.69908585548401,155.17544646263121,155.28931789398194,200041.8,194599.6,5442.2,5442.2
0000_SVD,972998,5818,3702,Under 18 excluded,SVD,0.8785502931088628,0.005175331461412802,0.8713390382731987,-0.0020359233742512917,1.1059127202588894,0.23253775861143944,1.1059127202588894,0.23253775861143944,0.7912782328817484,-0.0024588285439502977,0.7929572710846459,-0.0007797903410527995,0.7460041079997145,-0.04773295342598416,0.7460041079997145,-0.04773295342598416,0.78237678986016,0.7845766954209539,0.7247195235690139,0.7247195235690139,0.9086385437013214,0.9097674699389456,0.8790409679879229,0.8790409679879229,48.29678626060486,48.29678626060486,48.29678626060486,48.29678626060486,4.628775787353516,11.3407452583313,12.754797410964965,12.959878301620483,200041.8,194599.6,5442.2,5442.2
0001_KNNBaseline_item_msd,816673,4937,3664,18-24 excluded,KNNBaseline_item_msd,0.9096325183689988,0.02434549004391906,0.878968068535303,-0.006318959789776812,1.0351188540607592,0.14983182573567944,1.0351188540607592,0.14983182573567944,0.7857841132212364,-0.0060488592565551835,0.7905848025261214,-0.0012481699516702083,0.7645324930108083,-0.02730047946698333,0.7645324930108083,-0.02730047946698333,0.7782513718672895,0.7833565441908276,0.7553840893535059,0.7553840893535059,0.9065323053323455,0.9089854965673198,0.8955524169732362,0.8955524169732362,12.388492488861084,12.388492488861084,12.388492488861084,12.388492488861084,62.774925565719606,123.65262570381165,126.07824664115905,127.7305214881897,200041.8,163334.6,36707.2,36707.2
0001_SVD,816673,4937,3664,18-24 excluded,SVD,0.9034977360317462,0.030122774384296225,0.8709965479518171,-0.0023784136956328528,1.0358218673806632,0.1624469057332132,1.0358218673806632,0.1624469057332132,0.7845395544038809,-0.009197507021817763,0.7899184227261031,-0.0038186386995955335,0.7607191153786006,-0.03301794604709807,0.7607191153786006,-0.03301794604709807,0.776337459199081,0.7815436643431581,0.7530312887127005,0.7530312887127005,0.9061554962253752,0.908858923138987,0.8940554991210015,0.8940554991210015,40.16546211242676,40.16546211242676,40.16546211242676,40.16546211242676,6.428872585296631,10.791828155517578,12.921254110336303,13.477648401260376,200041.8,163334.6,36707.2,36707.2
0002_KNNBaseline_item_msd,604653,3944,3670,25-34 excluded,KNNBaseline_item_msd,0.9342145334669179,0.04892750514183808,0.8941787059063071,0.00889167758122733,0.9922921477975624,0.10700511947248259,0.9922921477975624,0.10700511947248259,0.780839597771491,-0.010993374706300574,0.7871539555939131,-0.004679016883878506,0.76970753123351,-0.02212544124428162,0.76970753123351,-0.02212544124428162,0.7734890579317153,0.7784779872032337,0.7642957631317926,0.7642957631317926,0.9051182626642742,0.9062471892501774,0.9029947008029039,0.9029947008029039,8.777155303955078,8.777155303955078,8.777155303955078,8.777155303955078,44.28717398643494,87.69527711868287,89.88616003990174,92.15106897354126,200041.8,120930.6,79111.2,79111.2
0002_SVD,604653,3944,3670,25-34 excluded,SVD,0.9303623383249079,0.0569873766774579,0.8874025910270523,0.014027629379602335,0.9924403672083892,0.11906540556093925,0.9924403672083892,0.11906540556093925,0.7795486530121369,-0.014188408413561726,0.7870503864681724,-0.006686674957526284,0.7663181080972084,-0.027418953328490314,0.7663181080972084,-0.027418953328490314,0.7721473067720603,0.7782358288357323,0.7609265348816575,0.7609265348816575,0.9047009250626055,0.906291362414084,0.901709345992359,0.901709345992359,29.131171655654907,29.131171655654907,29.131171655654907,29.131171655654907,4.6729820728302,8.21524806022644,10.43313307762146,12.347338533401489,200041.8,120930.6,79111.2,79111.2
0003_KNNBaseline_item_msd,801206,4847,3690,35-44 excluded,KNNBaseline_item_msd,0.9054939627672235,0.02020693444214372,0.8920451272003665,0.006758098875286778,0.9577189765471328,0.07243194822205301,0.9577189765471328,0.07243194822205301,0.7867059612714213,-0.005127011206370269,0.7911753328638865,-0.0006576396139050811,0.7684922630636439,-0.023340709414147676,0.7684922630636439,-0.023340709414147676,0.7785585766120084,0.7825590803704745,0.7622734994478476,0.7622734994478476,0.9066899328362166,0.9076467229647177,0.9028045475754028,0.9028045475754028,12.14695076942444,12.14695076942444,12.14695076942444,12.14695076942444,59.46862821578979,120.00221576690674,121.98399019241333,123.68917484283448,200041.8,160241.2,39800.6,39800.6
0003_SVD,801206,4847,3690,35-44 excluded,SVD,0.8975435065510398,0.024168544903589773,0.8823640814753988,0.00898911982794881,0.9562101651231462,0.08283520347569617,0.9562101651231462,0.08283520347569617,0.7869116080323355,-0.006825453393363157,0.7917636980925101,-0.001973363333188538,0.7671395509251312,-0.026597510500567467,0.7671395509251312,-0.026597510500567467,0.7789618397973015,0.7836369879149427,0.7599447217071009,0.7599447217071009,0.9074286632030745,0.9087306507869541,0.902141942861385,0.902141942861385,38.449741458892824,38.449741458892824,38.449741458892824,38.449741458892824,6.660785150527954,11.07828130722046,13.417664289474487,14.45207986831665,200041.8,160241.2,39800.6,39800.6
0004_KNNBaseline_item_msd,916576,5490,3695,45-49 excluded,KNNBaseline_item_msd,0.8938948188217879,0.008607790496708123,0.8881637799777771,0.002876751652697296,0.9544436811904425,0.06915665286536277,0.9544436811904425,0.06915665286536277,0.7892174180029633,-0.0026155544748283077,0.7906683297369244,-0.00116464274086725,0.7742121080139215,-0.017620864463870123,0.7742121080139215,-0.017620864463870123,0.7812271950359598,0.7827473474594424,0.765849731191812,0.765849731191812,0.907576188026669,0.9080846733723889,0.902499650929253,0.902499650929253,13.939955759048463,13.939955759048463,13.939955759048463,13.939955759048463,66.90401701927185,133.91875624656677,135.59254608154296,137.28531484603883,200041.8,183315.2,16726.6,16726.6
0004_SVD,916576,5490,3695,45-49 excluded,SVD,0.8836221625210963,0.010247200873646278,0.8770937464864451,0.003718784838995126,0.95223464628647,0.07885968463902004,0.95223464628647,0.07885968463902004,0.7897788008085632,-0.003958260617135445,0.7914848683367898,-0.0022521930889088937,0.7721487088328598,-0.021588352592838866,0.7721487088328598,-0.021588352592838866,0.7821940660816835,0.7838455006661329,0.7654932338161622,0.7654932338161622,0.9082534034129713,0.9088352299292938,0.9024446671244591,0.9024446671244591,44.07432117462158,44.07432117462158,44.07432117462158,44.07432117462158,7.085013580322266,12.154852056503296,13.746720123291016,14.10500888824463,200041.8,183315.2,16726.6,16726.6
